symbol,trade_date,entry_price,is_20cm,price,day1_pct_chg,day1_volume_ratio_5,day1_turnover,day1_close_position,day1_upper_shadow,day1_amplitude,day2_pct_chg,day2_volume_ratio_day1,day2_turnover,day2_close_position,day2_upper_shadow,day2_lower_shadow,day2_amplitude,day2_close_vs_day1_close,entry_open_gap_pct_chg,entry_high_from_open_pct_chg,entry_breakout_pct,ret_3,ret_5,ret_10,ret_20,amp_10,amp_20,amp_30,vol_ratio_3,vol_ratio_5,vol_ratio_10,turnover_3,turnover_5,turnover_10,limit_up_count_5,limit_up_count_10,limit_up_count_20,days_since_limit_up,label_trade_worth,label_limit_up_1d,label_limit_up_2d,label_limit_up_3d,label_repair_3d,label_big_loss,target_return_3d,target_max_high_return_3d,target_min_low_return_3d
603150.SH,2025-05-22,36.119589999999995,0.0,35.35,9.987554449284385,2.2593269803160205,13.673297782847046,1.0,0.0,0.11574362165525831,-1.9519094766619616,0.9631329421408047,13.169203522360817,0.6347305389221521,0.017599538372764182,0.030582804385458604,0.04724186704384736,-0.019519094766619616,1.4714368147720869,4.236565254478242,0.03941026368018119,0.10454262601120101,0.15259740259740262,0.11320163060520527,0.2220309810671257,0.19843085975809083,0.29815864022662875,0.4599761051373954,1.4735664670939752,1.9377762072102716,2.437993681596683,14.422574920052513,10.969508774696644,7.953841422009485,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.05009995960640734,0.03074259702283455,-0.060343708220386705
603151.SH,2025-07-23,28.047369999999997,0.0,24.52,10.004486316733963,1.6663082537878122,6.7290662103199335,1.0,0.0,0.11305518169582773,7.789559543230018,1.8957110392087235,12.756365098469907,0.8014705882352944,0.02043132803632233,0.010215664018161165,0.11092985318107662,0.07789559543230018,3.32954975406734,6.444525814719881,0.07786429365962189,0.19291161956034109,0.21083788706739526,0.17811253876827648,0.2926592124453087,0.3483302411873841,0.5446333687566418,0.9681787406905891,1.6228728428027304,2.2019464266990423,1.750116719127826,10.751164257336479,7.802618711457926,7.561286590899352,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.10223311490524767,-0.029499022546498943,-0.12184279666863596
603163.SH,2026-01-16,86.26799999999999,0.0,79.48,10.00692041522493,1.1176676220315773,6.011418,1.0,0.0,0.10698961937716278,4.25264217413186,1.3908033013175927,8.3607,0.4273648648648649,0.040912382331643744,0.00036205648081102026,0.07448414695520889,0.0425264217413186,1.3758146270818283,8.511904761904777,0.05681159420289861,0.2615916955017301,0.20712488412130847,0.328717201166181,0.5033811644400461,0.2859762979683975,0.6052131883307439,0.6348452883263007,0.44936773435247046,0.5263972711292988,0.4937682704331502,5.777774333333333,5.2869231999999995,5.8369532,2.0,3.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.019497380256874086,0.13622664255575656,-0.04506885519543735
603179.SH,2025-09-18,84.4194,0.0,80.4,10.001368176221103,0.889662510607729,7.419696357136524,1.0,0.0,0.09891914078533315,-0.9950248756219082,0.5309620449036192,3.9395771503491424,0.3740219092331769,0.05025125628140704,0.016457286432160833,0.07947761194029845,-0.009950248756219082,3.266331658291466,4.598540145985397,0.0284688995215312,0.06704063483376643,0.1278380332610265,0.32231264835537465,0.6193936877076411,0.5116033755274261,0.8558169652492986,0.8934155472362917,1.206276837853492,1.1082964578295804,0.9253816249886849,6.126439792122338,6.274578333061045,7.53235589406326,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.025105603688251765,-0.024868691319767766,-0.16855604280532677
603199.SH,2022-06-30,28.8,0.0,26.37,10.012515644555698,2.6446651943185646,11.207079869895194,1.0,0.0,0.11681268251981636,2.9958285930982154,1.1296742598111125,12.660349656667872,0.528735632183908,0.06038291605301917,0.05706921944035349,0.1319681456200228,0.029958285930982154,3.0191458026509688,5.2894924946390365,0.022916666666666696,0.150604922820192,0.31521220791607063,0.31083650190114076,0.2709677419354839,0.44129158512720146,0.4664011946241913,0.4939148073022315,1.0908248247413026,1.5078933900416953,2.544824923723212,12.202829177207567,10.752231658836285,6.077841525117456,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.1815972222222222,-0.05486111111111114,-0.19201388888888893
603200.SH,2024-05-06,25.09988,0.0,23.72,9.96754751970328,2.225966151283808,8.181304917267978,1.0,0.0,0.07000463606861373,2.1079258010118007,1.0407254349417245,8.514492118414585,0.3669724770642189,0.028488852188274207,0.0,0.04595278246205736,0.021079258010118007,0.9083402146986108,4.091653027823239,0.021276595744680993,0.1729253592953175,0.205335874225822,0.16161616161616155,0.08351177730192716,0.237956204379562,0.3921267893660534,0.3921267893660534,1.0495359803959714,1.2599595825701397,1.3649160495077572,7.9849948453497435,6.397789144476064,5.396671291116666,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0354535559532555,0.005582496808749671,-0.05497556163615125
603220.SH,2024-03-04,27.184689999999996,0.0,25.61,10.008591065292084,1.1343664818453765,22.181716294069954,1.0,0.0,0.10824742268041232,2.5771183131589215,0.9574325407724138,21.237496990124246,0.631284916201117,0.02512371526456034,0.02702702702702706,0.06989457243264341,0.025771183131589215,0.7613247049866656,6.800151114469211,0.049758633494244364,0.20876288659793807,0.23258869908015778,0.44307692307692315,0.3368171021377673,0.5045236828100053,0.9659248956884561,0.9659248956884561,0.8634033566002088,0.9385491917316953,0.9655052241883723,20.72561498475679,20.19811820685148,19.598752201768992,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.059397035610852855,0.0954695455419945,-0.0737433459789314
603229.SH,2022-07-08,23.9,0.0,22.91,9.98559769563132,0.8966875923070888,5.2884901357739755,1.0,0.0,0.09745559289486327,0.4364906154517678,1.0888331218070793,5.7582832241807225,0.5781990521327027,0.03867883528900465,0.05302042590178194,0.09209951986032294,0.004364906154517678,0.9995654063450488,8.648881239242701,0.05648535564853563,0.17858857417186758,0.2687338501291989,0.4552459988144635,0.5777634961439588,0.5850596359070936,0.6912257200267917,0.6912257200267917,1.0671804763632482,1.0200130430827274,1.139529249126195,5.528158162613043,5.349033793055918,5.146272680505524,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.032217573221757556,0.07866108786610893,-0.051882845188284454
603278.SH,2025-02-17,11.69753,0.0,11.06,10.049751243781092,1.1045326810014728,14.445974903887937,1.0,0.0,0.04378109452736334,-0.2712477396021762,1.1307588365159777,16.334913774659338,0.7407407407407398,0.019038984587488747,0.021758839528558498,0.0732368896925859,-0.002712477396021762,3.2638259292837812,6.496927129060581,0.07918149466192181,0.1512437810945273,0.15931863727454898,0.23479188900747072,0.45169385194479306,0.47746650426309367,0.5835509138381201,0.6847222222222222,1.058103688292875,1.0256244816607034,1.1855210134045289,15.375975973178228,15.582933796885968,12.803334545960334,1.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.023725521541727246,0.04979427280802007,-0.06817935068343484
603283.SH,2022-10-21,23.3129,0.0,20.53,10.021436227224022,1.0712917321073894,10.225306423432228,1.0,0.0,0.047159699892818985,6.429615197272276,1.780532878383152,18.206494278463516,0.7660256410256419,0.03340961098398155,0.01693363844393581,0.1519727228446175,0.06429615197272276,3.89016018306636,5.903083700440526,0.06465899025686461,0.28831725616291526,0.3839953943580885,0.7369942196531791,0.5671447196870925,0.7702503681885124,0.7702503681885124,0.7702503681885124,0.8374359832559248,0.9695812779548557,1.1100437550160323,12.852810119749783,10.607874438089791,9.94005439131208,2.0,3.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.20233861939098108,0.21692281955483872,0.041054523461259596
